eScriptorium project name	eScriptorium document name	eScriptorium transcription layer	which regions to include	URI	language code	BASED LINK (WORLDCAT)	DOWNLOAD LINK	SUBMITTED BY	KITAB PIPELINE / eSCRIPTORIUM	NOTES	ISSUES	CHANGE URI TO	NUMBER OF VOLUME	PAGE NUMBER OF FIRST IMAGE	BOOK RELATIONS	CORPUS/BARZAKH	AUTHOR_TRANSCRIPTION	TITLE_TRANSCRIPTION	Segmentation_model	AUTHOR_DEATH_YEAR
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
FASDH25_evaluation			MainZone		urd						UNCORRECTED_OCR								urdu_segm_fas25a	
																			urdu_segm_fas25a	
